Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas1                 Pavarde1                      3        10         8         1         7         4         6         2
Vardas2                 Pavarde2                      9         8         4         6         3         4         8         7
Vardas3                 Pavarde3                      8        10         9         8        10         9         8         8
Vardas4                 Pavarde4                      7         8         8         3         8         5         7         4
Vardas5                 Pavarde5                      9         3         6        10         7         9         4         5
Vardas6                 Pavarde6                      9         7         4         6         8         2         8         9
Vardas7                 Pavarde7                      8         4         2         3         1         2         9         1
Vardas8                 Pavarde8                      8         5         7         8         1         4         3         8
Vardas9                 Pavarde9                      4         1        10         9        10         6         9         3
Vardas10               Pavarde10                      4         9         2         4         3         8         2         9
Vardas11               Pavarde11                      9         8         2         3         1         1         3         1
Vardas12               Pavarde12                      3         8         5         4         8         1         1         1
Vardas13               Pavarde13                      8         6         9         3         9         2         5         3
Vardas14               Pavarde14                      1         2        10         1         9         9         9         7
Vardas15               Pavarde15                      1        10         4         7         2        10         8         5
Vardas16               Pavarde16                      9         1         9        10         2         9        10         5
Vardas17               Pavarde17                      2         1         4        10         1         2         9         5
Vardas18               Pavarde18                     10         7         5        10         2         8         6         3
Vardas19               Pavarde19                      3         6         5         9         1         5        10        10
Vardas20               Pavarde20                     10         2         7         9         4         9         7         6
Vardas21               Pavarde21                      1         6         9         9         8         5         4         4
Vardas22               Pavarde22                      1         1         2        10         3         5         8         9
Vardas23               Pavarde23                      6         4         4         6         6         4         2         2
Vardas24               Pavarde24                      3         9         3         5         6         1         1         3
Vardas25               Pavarde25                      9         7         7         8         9         7         7         1
Vardas26               Pavarde26                      9         5         6        10         5         9         2         7
Vardas27               Pavarde27                      5         8         2         2         2         5         6         5
Vardas28               Pavarde28                      1         1         2         5         9         6         9         3
Vardas29               Pavarde29                      8         3        10         7         6         4         3         7
Vardas30               Pavarde30                      9         9         5         9        10        10         5         8
Vardas31               Pavarde31                      7         9         3         6         6         3         2         4
Vardas32               Pavarde32                      2         2         2         5         9         6        10        10
Vardas33               Pavarde33                      1         9         8         9         8         3         9         3
Vardas34               Pavarde34                      6         7        10         7         4         1         8         5
Vardas35               Pavarde35                      8         6        10         2         9         4        10         9
Vardas36               Pavarde36                      7         5         1         2         9         5        10         1
Vardas37               Pavarde37                      9         3         6         6         6        10         8         3
Vardas38               Pavarde38                      2         4         8         4         1         9         4         4
Vardas39               Pavarde39                     10         9         5         7         9         7         4         8
Vardas40               Pavarde40                      9         1         4         7         6         7         8         4
Vardas41               Pavarde41                      1         8         5         3         4         9         3         9
Vardas42               Pavarde42                      3         4         2         1         7         8         4         6
Vardas43               Pavarde43                      3         4         3         6         9        10         8         8
Vardas44               Pavarde44                      6         8         2         4         8         7         2         9
Vardas45               Pavarde45                      6         8         1         6         1         9         9         5
Vardas46               Pavarde46                      4         2         3         8         5         4         9         2
Vardas47               Pavarde47                      1         1         5         5         4         3         6         4
Vardas48               Pavarde48                     10         5         2        10        10         6         2         9
Vardas49               Pavarde49                      2         6         8        10         7         7         3         7
Vardas50               Pavarde50                      4         2        10         4         1         9         1         7
Vardas51               Pavarde51                     10         2         5         9        10         7         9        10
Vardas52               Pavarde52                      5         9         3         9         3         9         2         3
Vardas53               Pavarde53                      1         2         8         2         2         1         8         2
